Guild	JQ1	JQ10	JQ11	JQ12	JQ13	JQ14	JQ15	JQ2	JQ3	JQ4	JQ5	JQ6	JQ7	JQ8	JQ9	PLJ1	PLJ11	PLJ12	PLJ13	PLJ14	PLJ15	PLJ16	PLJ17	PLJ18	PLJ2	PLJ3	PLJ4	PLJ6	PLJ8	PLJ9
Plant Pathogen	115	56	64	18	168	191	139	0	87	330	0	7	478	15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	33	0	0	0	0	8	0	19	0	6	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	127	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	187	266	28	127	27	129	128	35	197	100	13	90	246	117
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	29	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Endophyte	0	0	0	0	0	0	0	0	0	202	0	62	0	0	0	807	1012	1050	1062	429	712	630	702	461	600	504	820	1214	742	774
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	150	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	10	0	0	0	0	0	0	10	0	0	0	0	54
Undefined Saprotroph	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	39	0	0	0	0	0	0	16	0	0	0	114
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	33	41	58	22	92	43	52	0	29	52	83	379	100	43
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	24	13	0	0	0	0	0	0	18	0	15	20
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	0	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	4	0	0	0	8	0	6	0	0	175	66	388	424	88	18	11	132	0	258	111	220	13	8	242
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	26	64	0	0	8
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	469	299	558	1221	67	18	22	253	0	284	963	1772	235	6	1823
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0
Wood Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	17	0	24	0	0	0	0	29	0	10	0	2
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	56	56	2	18	0	0	15	0	34	73	10	218	2	27
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	11	17	0	0	0	0	16	0	10	0	0	0	36	4
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	37	35	0	0	500
Plant Pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Ectomycorrhizal	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	38	21	25	24	9	25	21	8	31	15	29	48	31	11
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Ericoid Mycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant Pathogen	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungal Parasite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Undefined Saprotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
